lambda,nu,emp_mean
72,0.9500000000000002,85.94666666666667
162,0.8600000000000001,98.62666666666667
119,0.9100000000000001,97.98
174,0.8,98.73333333333333
66,0.9600000000000002,78.04
90,0.9900000000000002,88.65333333333334
122,0.9600000000000002,96.94666666666667
101,0.9400000000000002,96.5
147,0.9500000000000002,97.98
52,1.0100000000000002,49.553333333333335
81,0.81,98.04666666666667
104,1.1400000000000003,59.50666666666667
48,1.0100000000000002,45.61333333333334
101,0.8800000000000001,97.98666666666666
65,0.81,97.56
63,0.8500000000000001,95.65333333333334
170,1.0200000000000002,97.45333333333333
70,1.1900000000000004,35.42
156,0.9000000000000001,98.39333333333333
157,0.8400000000000001,98.57333333333334
148,0.8900000000000001,98.39333333333333
50,0.9200000000000002,70.02666666666667
16,1.0600000000000003,13.686666666666667
192,0.9700000000000002,98.29333333333334
51,1.1300000000000003,32.11333333333334
189,1.0400000000000003,97.48666666666666
190,0.9900000000000002,98.01333333333334
183,0.9200000000000002,98.46
125,0.8700000000000001,98.30666666666667
149,0.8600000000000001,98.42666666666666
186,1.0700000000000003,96.62666666666667
160,1.1500000000000004,81.49333333333334
187,1.0500000000000003,96.93333333333334
104,1.1000000000000003,67.38
82,0.9100000000000001,96.12
30,1.0000000000000002,30.253333333333334
172,0.9100000000000001,98.31333333333333
198,0.8700000000000001,98.6
89,1.0200000000000002,81.65333333333334
136,1.1000000000000003,85.88666666666667
156,0.8500000000000001,98.36
20,0.9800000000000002,21.92
135,0.9400000000000002,97.92
86,1.0100000000000002,82.5
185,0.9900000000000002,98.01333333333334
42,1.1400000000000003,26.78
74,1.0600000000000003,57.86
130,0.8400000000000001,98.30666666666667
59,1.1100000000000003,39.88
157,0.8300000000000001,98.52666666666667
91,1.0000000000000002,88.02
57,1.1800000000000004,30.293333333333333
21,1.0800000000000003,16.926666666666666
41,1.1300000000000003,26.32
73,1.1300000000000003,44.586666666666666
113,0.8400000000000001,98.08666666666667
79,1.0400000000000003,66.06666666666666
157,1.1500000000000004,81.91333333333333
32,0.8800000000000001,52.086666666666666
186,0.9600000000000002,98.06666666666666
105,0.9300000000000002,96.89333333333333
194,0.9600000000000002,98.3
37,0.8800000000000001,59.92666666666667
98,1.0900000000000003,67.32
179,1.1300000000000003,91.86
158,0.9700000000000002,97.90666666666667
16,1.0800000000000003,13.266666666666667
72,1.0600000000000003,55.906666666666666
108,0.9900000000000002,94.86666666666666
190,0.8800000000000001,98.53333333333333
75,1.1500000000000004,42.76
93,1.1400000000000003,53.906666666666666
157,0.9100000000000001,98.19333333333333
159,1.0800000000000003,94.30666666666667
180,0.8600000000000001,98.61333333333333
122,1.1900000000000004,56.593333333333334
114,0.9800000000000002,96.02666666666667
181,1.0900000000000003,95.36
182,0.9000000000000001,98.38666666666667
154,0.8400000000000001,98.59333333333333
166,1.1800000000000004,74.60666666666667
82,0.8400000000000001,97.78666666666666
10,1.0700000000000003,8.826666666666666
115,0.9300000000000002,97.56
80,1.1900000000000004,39.60666666666667
51,1.0900000000000003,37.07333333333333
12,1.1500000000000004,8.66
46,1.1300000000000003,29.606666666666666
39,0.9100000000000001,55.166666666666664
29,0.8600000000000001,50.57333333333333
93,1.0300000000000002,81.75333333333333
65,1.1200000000000003,40.86666666666667
39,1.1400000000000003,25.253333333333334
38,0.8500000000000001,72.10666666666667
195,0.9800000000000002,98.12666666666667
102,0.8500000000000001,98.13333333333334
162,0.9000000000000001,98.38666666666667
40,0.9500000000000002,48.07333333333333
89,1.1100000000000003,56.5
67,0.9400000000000002,85.1
186,0.8700000000000001,98.55333333333333
87,0.8500000000000001,97.93333333333334
111,1.1900000000000004,52.626666666666665
93,1.1800000000000004,47.22666666666667
70,0.9800000000000002,75.79333333333334
181,1.0400000000000003,97.2
132,1.0900000000000003,86.56666666666666
26,1.0000000000000002,26.38
164,0.9300000000000002,98.1
60,0.9100000000000001,87.04666666666667
161,0.8700000000000001,98.58
69,0.81,97.56
81,1.1500000000000004,45.68666666666667
191,0.9100000000000001,98.51333333333334
85,1.0200000000000002,78.03333333333333
63,0.9000000000000001,91.39333333333333
149,0.8700000000000001,98.42
189,1.1800000000000004,83.16
117,1.0500000000000003,88.64666666666666
177,0.8500000000000001,98.58666666666667
135,1.0300000000000002,95.55333333333333
28,0.8400000000000001,53.733333333333334
133,0.81,98.55333333333333
24,0.9200000000000002,32.986666666666665
20,0.9300000000000002,25.78
27,0.9100000000000001,36.233333333333334
28,0.8800000000000001,44.04
145,1.0700000000000003,93.78
187,0.9600000000000002,98.06
45,0.8500000000000001,85.30666666666667
28,0.9600000000000002,32.52
186,1.0200000000000002,97.92
37,1.1900000000000004,20.42
84,1.0600000000000003,64.54
148,0.8600000000000001,98.45333333333333
198,0.9800000000000002,98.06666666666666
11,0.81,19.626666666666665
157,0.8800000000000001,98.31333333333333
188,1.1300000000000003,93.24
158,1.0900000000000003,93.54
59,0.8200000000000001,96.41333333333333
27,1.1600000000000004,16.873333333333335
113,0.8,98.44
183,1.0800000000000003,95.96
136,1.1800000000000004,63.86666666666667
95,0.8400000000000001,97.85333333333334
190,0.8600000000000001,98.60666666666667
78,1.1400000000000003,45.71333333333333
83,1.0700000000000003,61.946666666666665
81,1.1300000000000003,48.35333333333333
175,1.1900000000000004,76.30666666666667
137,1.0100000000000002,96.68
191,0.9500000000000002,98.40666666666667
176,0.9700000000000002,98.00666666666666
131,1.0000000000000002,96.7
55,1.1400000000000003,34.306666666666665
164,0.9400000000000002,98.28
115,1.1100000000000003,71.93333333333334
11,1.0900000000000003,8.693333333333333
64,1.0300000000000002,55.89333333333333
151,0.8,98.64666666666666
132,0.9200000000000002,97.81333333333333
163,0.8900000000000001,98.35333333333334
26,0.9800000000000002,27.85333333333333
123,0.8600000000000001,98.27333333333333
60,1.1600000000000004,33.92666666666667
124,0.9900000000000002,95.89333333333333
124,0.9100000000000001,97.79333333333334
76,1.1700000000000004,40.2
142,0.8300000000000001,98.56
70,0.9900000000000002,71.36
160,0.9500000000000002,98.16
102,0.9700000000000002,95.32
195,0.9300000000000002,98.48
100,0.8800000000000001,97.91333333333333
185,0.9200000000000002,98.54666666666667
162,0.8200000000000001,98.66666666666667
173,1.1400000000000003,89.43333333333334
102,1.1500000000000004,55.306666666666665
149,1.1100000000000003,87.92
195,1.1500000000000004,91.46666666666667
172,0.81,98.62666666666667
190,0.9700000000000002,98.19333333333333
48,0.8800000000000001,81.28
100,0.8,98.42
51,0.8700000000000001,88.26
84,1.1900000000000004,41.74666666666667
118,0.8300000000000001,98.40666666666667
164,0.9000000000000001,98.46
153,0.8700000000000001,98.52666666666667
97,1.1700000000000004,49.31333333333333
53,0.9100000000000001,77.62
110,0.8200000000000001,98.42666666666666
40,1.1800000000000004,22.253333333333334
24,0.9000000000000001,35.333333333333336
194,0.8500000000000001,98.62
196,1.1300000000000003,93.33333333333333
55,1.1600000000000004,31.766666666666666
112,1.1200000000000003,67.00666666666666
32,1.1700000000000004,19.106666666666666
12,0.9400000000000002,13.92
171,0.8900000000000001,98.60666666666667
84,1.0900000000000003,57.92666666666667
70,0.9000000000000001,94.43333333333334
178,0.9600000000000002,98.07333333333334
120,1.0200000000000002,94.62
114,1.0100000000000002,94.12666666666667
189,0.9700000000000002,98.2
182,0.9200000000000002,98.32
35,1.0900000000000003,25.826666666666668
153,0.8400000000000001,98.55333333333333
165,1.0400000000000003,97.1
156,0.9700000000000002,97.82
199,1.1100000000000003,95.97333333333333
51,0.9700000000000002,58.08
146,1.0700000000000003,93.21333333333334
16,1.0100000000000002,15.3
149,1.1800000000000004,69.03333333333333
43,1.0200000000000002,40.153333333333336
26,0.9100000000000001,35.86
28,0.8700000000000001,46.733333333333334
150,0.9900000000000002,97.45333333333333
118,0.8500000000000001,98.40666666666667
102,0.9400000000000002,96.33333333333333
177,1.0400000000000003,97.13333333333334
151,0.8500000000000001,98.46
42,1.1900000000000004,22.8
53,0.8800000000000001,86.74666666666667
79,1.0800000000000003,57.42666666666667
12,1.1400000000000003,9.28
114,1.0900000000000003,76.16
99,0.9600000000000002,95.60666666666667
49,0.9000000000000001,74.82666666666667
151,0.8200000000000001,98.62666666666667
113,0.8700000000000001,98.11333333333333
126,0.8400000000000001,98.54
143,1.1200000000000003,82.9
117,0.81,98.45333333333333
128,1.0400000000000003,93.35333333333334
139,1.0200000000000002,96.14
118,1.1500000000000004,62.50666666666667
133,0.8900000000000001,98.1
174,1.1200000000000003,91.98
188,1.0100000000000002,97.86666666666666
163,1.1400000000000003,84.98666666666666
10,1.1900000000000004,6.74
65,0.8800000000000001,94.63333333333334
178,1.1100000000000003,93.9
159,1.1200000000000003,88.84666666666666
76,1.1100000000000003,49.6
13,1.0500000000000003,11.386666666666667
162,1.1000000000000003,92.88666666666667
116,0.9600000000000002,96.48
166,1.1000000000000003,93.46
48,0.9000000000000001,73.69333333333333
141,1.0500000000000003,94.40666666666667
28,1.0800000000000003,22.086666666666666
160,1.1900000000000004,70.30666666666667
17,1.1900000000000004,10.953333333333333
119,1.0600000000000003,87.54666666666667
114,1.1000000000000003,73.72666666666667
47,0.9900000000000002,48.27333333333333
93,0.9100000000000001,97.24
29,1.1400000000000003,19.1
189,0.9200000000000002,98.38
105,0.9800000000000002,95.59333333333333
68,0.9500000000000002,83.49333333333334
160,0.9300000000000002,98.18
38,1.1800000000000004,20.86
48,1.1200000000000003,32.166666666666664
44,0.8900000000000001,69.00666666666666
139,1.0100000000000002,96.42666666666666
149,1.1600000000000004,75.85333333333334
134,1.0800000000000003,89.5
75,1.1100000000000003,48.22
32,0.8900000000000001,47.92666666666667
73,0.9000000000000001,94.48666666666666
159,0.9500000000000002,98.22666666666667
161,0.9400000000000002,98.08
38,0.9500000000000002,45.48
51,0.9900000000000002,51.833333333333336
162,1.1300000000000003,88.2
130,1.1900000000000004,60.96
113,1.0400000000000003,89.64
23,0.9600000000000002,25.946666666666665
149,0.9600000000000002,98.04666666666667
35,0.8700000000000001,59.58
33,1.1500000000000004,20.433333333333334
52,1.0900000000000003,37.00666666666667
140,0.9700000000000002,97.54
85,0.9400000000000002,94.56666666666666
155,0.9800000000000002,97.85333333333334
189,0.8400000000000001,98.68666666666667
69,0.9300000000000002,89.67333333333333
37,1.0500000000000003,30.753333333333334
183,0.8500000000000001,98.68
53,1.0500000000000003,44.06666666666667
29,0.9100000000000001,40.593333333333334
140,0.9000000000000001,98.24
110,0.9300000000000002,97.16
18,1.0600000000000003,15.066666666666666
40,1.0100000000000002,37.94
43,1.0000000000000002,42.486666666666665
54,1.1000000000000003,37.78666666666667
83,0.9100000000000001,96.10666666666667
13,0.81,23.58
19,1.1200000000000003,13.973333333333333
58,1.0500000000000003,46.86666666666667
50,0.9500000000000002,60.82666666666667
117,0.8300000000000001,98.33333333333333
60,0.8300000000000001,96.14
173,0.8900000000000001,98.46
178,1.0000000000000002,97.86666666666666
88,0.9200000000000002,95.91333333333333
130,1.0000000000000002,96.85333333333334
192,1.0500000000000003,97.34
56,0.8500000000000001,94.25333333333333
73,1.0100000000000002,69.44666666666667
100,0.9900000000000002,93.40666666666667
183,0.8300000000000001,98.76666666666667
187,1.0100000000000002,97.88666666666667
111,1.0600000000000003,83.6
101,0.8900000000000001,97.78
83,1.1000000000000003,55.57333333333333
72,0.9300000000000002,91.77333333333333
109,0.8200000000000001,98.43333333333334
21,0.8900000000000001,30.793333333333333
169,0.8500000000000001,98.54
177,1.1300000000000003,91.24666666666667
34,1.0200000000000002,31.666666666666668
199,0.9700000000000002,98.19333333333333
147,1.0600000000000003,94.58666666666667
69,0.8300000000000001,97.20666666666666
53,0.9900000000000002,54.873333333333335
159,0.9800000000000002,97.39333333333333
53,1.1000000000000003,36.946666666666665
63,1.0000000000000002,63.413333333333334
151,1.0700000000000003,93.41333333333333
135,0.9500000000000002,97.68
43,0.9000000000000001,64.78
121,1.0700000000000003,86.02666666666667
144,0.8500000000000001,98.52666666666667
195,1.1000000000000003,95.97333333333333
124,1.1600000000000004,64.48666666666666
103,1.1200000000000003,62.74
28,1.0200000000000002,26.186666666666667
152,0.81,98.68
134,1.1800000000000004,63.98
177,1.1200000000000003,93.2
47,1.1800000000000004,25.946666666666665
30,1.1800000000000004,17.793333333333333
88,0.8700000000000001,97.72
109,0.9500000000000002,96.97333333333333
45,0.8,94.15333333333334
198,0.9000000000000001,98.58
95,1.1900000000000004,45.94
96,0.8400000000000001,98.06
140,0.8800000000000001,98.18
72,1.0800000000000003,53.53333333333333
124,0.9200000000000002,97.88
63,0.9700000000000002,72.04666666666667
94,0.9500000000000002,95.52
88,0.8800000000000001,97.38666666666667
140,0.8400000000000001,98.41333333333333
76,1.0400000000000003,63.62
69,1.0500000000000003,56.20666666666666
191,0.8800000000000001,98.61333333333333
161,0.81,98.64
168,0.8200000000000001,98.75333333333333
27,1.0900000000000003,20.393333333333334
59,1.0500000000000003,49.486666666666665
106,0.8700000000000001,98.02
16,1.1500000000000004,11.493333333333334
23,1.0200000000000002,21.74
172,1.0200000000000002,97.62
135,0.8800000000000001,98.15333333333334
81,0.9400000000000002,93.57333333333334
128,1.1900000000000004,58.973333333333336
137,1.1100000000000003,83.06666666666666
75,0.9400000000000002,92.02
36,1.0700000000000003,29.033333333333335
62,1.1700000000000004,33.56666666666667
120,0.9500000000000002,97.20666666666666
44,1.1200000000000003,28.993333333333332
193,0.9400000000000002,98.46
46,1.1500000000000004,28.753333333333334
68,0.8600000000000001,95.82
153,1.1300000000000003,83.98
83,0.9900000000000002,84.47333333333333
67,0.8600000000000001,96.22666666666667
77,0.8200000000000001,97.84666666666666
198,0.9500000000000002,98.35333333333334
83,0.8500000000000001,97.5
190,1.1300000000000003,93.06666666666666
56,0.8900000000000001,89.17333333333333
86,0.9300000000000002,95.81333333333333
163,0.8,98.64666666666666
93,0.8200000000000001,98.38666666666667
45,1.0700000000000003,34.92
67,1.0000000000000002,67.74666666666667
136,1.1300000000000003,77.1
67,0.9900000000000002,69.83333333333333
76,0.8,97.78666666666666
157,0.9900000000000002,97.93333333333334
53,1.1500000000000004,31.546666666666667
59,0.81,96.84
72,1.1300000000000003,43.77333333333333
130,1.1300000000000003,74.18
30,0.81,67.30666666666667
87,0.9600000000000002,93.52
71,1.1500000000000004,40.26
130,1.1600000000000004,65.90666666666667
125,1.0400000000000003,92.43333333333334
140,1.0200000000000002,96.06666666666666
122,0.8200000000000001,98.37333333333333
159,1.0700000000000003,95.5
138,1.0700000000000003,91.34
57,1.1500000000000004,33.96666666666667
68,1.1200000000000003,42.54666666666667
148,1.1500000000000004,77.64
193,1.0700000000000003,96.98
133,1.1900000000000004,61.153333333333336
191,0.8600000000000001,98.58666666666667
196,1.1700000000000004,88.15333333333334
36,0.9400000000000002,44.86
170,0.9600000000000002,97.98666666666666
12,0.8700000000000001,17.18
171,1.0700000000000003,96.42666666666666
128,0.8700000000000001,98.3
112,1.1300000000000003,64.77333333333333
164,0.9900000000000002,97.52666666666667
119,1.0500000000000003,90.78
105,1.0800000000000003,74.58
11,1.1400000000000003,8.26
119,0.9800000000000002,96.59333333333333
161,0.9800000000000002,97.82666666666667
77,1.0700000000000003,57.66
143,1.1400000000000003,77.50666666666666
87,1.0900000000000003,61.04
63,0.8700000000000001,94.47333333333333
80,1.0200000000000002,73.26666666666667
67,0.9800000000000002,72.06666666666666
180,0.9200000000000002,98.47333333333333
198,1.1400000000000003,93.75333333333333
153,0.8200000000000001,98.58
100,0.8400000000000001,98.15333333333334
103,0.9100000000000001,97.40666666666667
145,0.9500000000000002,97.84666666666666
66,1.0700000000000003,50.34
147,0.9200000000000002,98.10666666666667
142,0.9500000000000002,97.85333333333334
40,1.1700000000000004,23.753333333333334
68,0.9800000000000002,74.22
177,0.9100000000000001,98.37333333333333
26,0.9600000000000002,29.913333333333334
64,1.0500000000000003,52.12
40,0.9100000000000001,59.03333333333333
159,1.1000000000000003,91.98
180,0.9800000000000002,97.88
90,1.1000000000000003,59.75333333333333
162,0.81,98.66666666666667
98,0.9900000000000002,92.34666666666666
170,0.8800000000000001,98.52
47,0.9300000000000002,62.20666666666666
74,1.0200000000000002,67.84
141,0.9400000000000002,97.97333333333333
80,0.9900000000000002,82.35333333333334
38,0.8900000000000001,60.18
27,0.8500000000000001,48.74
138,1.0900000000000003,88.13333333333334
129,0.8700000000000001,98.36666666666666
140,1.1600000000000004,70.54666666666667
194,0.8200000000000001,98.78
87,1.1400000000000003,49.22666666666667
179,0.8,98.78
80,0.9000000000000001,95.70666666666666
99,0.8400000000000001,98.22
52,1.1300000000000003,33.27333333333333
101,1.1800000000000004,50.36666666666667
151,1.0600000000000003,94.81333333333333
179,1.1500000000000004,89.05333333333333
16,0.8400000000000001,26.98
189,0.8200000000000001,98.76666666666667
144,1.0500000000000003,95.29333333333334
125,1.0000000000000002,96.02666666666667
111,1.1400000000000003,62.46666666666667
71,1.0200000000000002,65.32666666666667
80,1.0400000000000003,66.98666666666666
156,1.0400000000000003,96.48
158,1.1800000000000004,72.46666666666667
100,1.1700000000000004,50.35333333333333
33,0.9400000000000002,41.22
77,1.0600000000000003,60.03333333333333
177,0.8600000000000001,98.50666666666666
92,0.8600000000000001,97.93333333333334
94,1.0800000000000003,67.52
184,0.8300000000000001,98.68
124,0.8900000000000001,98.11333333333333
125,0.9900000000000002,96.49333333333334
187,1.0800000000000003,96.89333333333333
99,1.1400000000000003,56.973333333333336
153,0.8600000000000001,98.35333333333334
199,0.9800000000000002,98.15333333333334
153,0.9500000000000002,98.02
70,0.9200000000000002,91.96666666666667
33,1.1600000000000004,20.173333333333332
168,0.8700000000000001,98.52
26,0.81,54.833333333333336
47,0.8300000000000001,92.19333333333333
69,1.0600000000000003,53.95333333333333
106,1.0200000000000002,90.18
33,0.9700000000000002,36.68666666666667
33,1.1100000000000003,23.58
47,0.8,95.46666666666667
96,1.1400000000000003,54.906666666666666
21,1.1800000000000004,13.086666666666666
109,1.1000000000000003,70.92666666666666
138,1.1300000000000003,78.29333333333334
32,1.1400000000000003,20.8
197,0.9200000000000002,98.54
129,0.9100000000000001,98.04
61,0.8600000000000001,94.78
199,0.8800000000000001,98.52
121,1.0000000000000002,95.69333333333333
92,1.1000000000000003,60.57333333333333
71,1.0900000000000003,49.266666666666666
33,0.8600000000000001,58.79333333333334
63,1.0600000000000003,50.06
14,1.0900000000000003,10.813333333333333
158,1.1100000000000003,90.63333333333334
191,0.9900000000000002,98.11333333333333
157,0.9400000000000002,98.23333333333333
167,0.8600000000000001,98.55333333333333
119,1.1800000000000004,58.14666666666667
176,0.9800000000000002,98.14
187,1.0400000000000003,97.38
17,0.9400000000000002,19.866666666666667
164,0.8700000000000001,98.74666666666667
42,1.0500000000000003,34.96666666666667
141,1.1500000000000004,74.15333333333334
25,1.0100000000000002,24.013333333333332
186,1.0600000000000003,96.79333333333334
105,0.8400000000000001,98.16666666666667
156,1.0700000000000003,94.35333333333334
169,0.9000000000000001,98.52666666666667
167,1.0000000000000002,97.52666666666667
58,0.9100000000000001,85.01333333333334
67,1.0200000000000002,61.16
177,1.0600000000000003,96.54666666666667
15,0.8600000000000001,23.9
168,1.1200000000000003,90.44666666666667
191,0.8,98.8
44,0.8300000000000001,88.50666666666666
110,1.1800000000000004,53.18
44,1.1600000000000004,25.773333333333333
37,0.8400000000000001,74.21333333333334
77,1.1300000000000003,47.00666666666667
43,0.9400000000000002,54.586666666666666
54,0.8600000000000001,92.77333333333333
41,1.0300000000000002,35.86
118,1.1600000000000004,60.78
62,0.8500000000000001,95.38
67,1.1900000000000004,34.00666666666667
136,0.8900000000000001,98.18666666666667
159,0.8800000000000001,98.42
173,1.0900000000000003,95.39333333333333
78,1.1500000000000004,44.8
190,0.8700000000000001,98.62
179,1.0100000000000002,97.91333333333333
146,1.1900000000000004,65.3
182,1.0500000000000003,97.00666666666666
68,0.8400000000000001,97.21333333333334
140,0.9300000000000002,98.17333333333333
100,0.9300000000000002,97.0
121,0.9500000000000002,97.18
113,1.1100000000000003,71.18666666666667
11,0.8600000000000001,15.8
24,1.0200000000000002,23.133333333333333
30,0.8,70.33333333333333
33,0.8500000000000001,61.07333333333333
100,1.0500000000000003,80.85333333333334
187,0.9100000000000001,98.53333333333333
97,1.1200000000000003,59.32666666666667
93,1.0500000000000003,75.83333333333333
60,1.0500000000000003,48.21333333333333
24,1.1200000000000003,17.086666666666666
124,0.8,98.54
75,1.0000000000000002,74.92
90,1.1400000000000003,50.833333333333336
37,1.0000000000000002,36.406666666666666
19,1.0900000000000003,14.626666666666667
189,1.0200000000000002,97.64
135,1.0100000000000002,96.04
46,1.0400000000000003,39.766666666666666
24,0.9400000000000002,28.98
98,1.0500000000000003,77.21333333333334
70,0.9700000000000002,79.15333333333334
93,0.9800000000000002,92.11333333333333
64,0.9000000000000001,92.23333333333333
44,0.81,92.46666666666667
29,1.0200000000000002,26.973333333333333
115,0.9700000000000002,96.5
85,1.0100000000000002,81.7
109,0.9900000000000002,94.65333333333334
188,0.9600000000000002,98.31333333333333
129,0.8,98.48
34,1.0600000000000003,27.80666666666667
96,1.0700000000000003,70.76
88,1.1100000000000003,56.58
147,1.0300000000000002,96.36
196,0.81,98.76
95,1.0100000000000002,88.13333333333334
101,1.0100000000000002,90.32
101,1.0500000000000003,80.72
160,1.0000000000000002,97.74666666666667
184,0.8500000000000001,98.63333333333334
60,1.0700000000000003,44.193333333333335
52,1.1600000000000004,30.32
111,0.9400000000000002,96.9
11,1.1100000000000003,8.633333333333333
167,1.1700000000000004,79.96
145,0.8400000000000001,98.48666666666666
104,0.9700000000000002,95.46
